Battenberg	Tumor_Barcode	PGA	PGA_Subclonal	PGA_TETRA	PGA_LOH	PGA_Haploid_LOH	MCN	MCN_WGD	MCN_CHR	DPClust_Mutations	ASCAT_Purity	ASCAT_Ploidy	BB_Purity	BB_Ploidy	CCUBE_Purity	GOF	High_Purity	WGD_MP2_Number	WGD_MP2_Ratio	WGD_EVEN_Ratio	nWGD_CCF_MCluster	nWGD_CCF_MCluster_Detail	nWGD_Substantial_Segment	nWGD_Substantial_Segment_Detail	Super_Cluster_1	Super_Cluster_5	Super_Cluster_10	Homozoygous_Deletion	Homozoygous_Deletion2	Homozoygous_Deletion_Detail	DPCLUST_Detail	Cluster_ChrEnrich	Cluster_Signatures
Battenberg_0	TCGA-86-6851-01A	0.9103187594883467	0.45086451787520465	0.2395905005904772	0.34407173820820863	0.03797179919174981	0.8646618706033505	WGD	21	176624	0.32	3.23589613819841	0.30464	3.10330669939602		0.455095551951462		38468	0.5115680565664968	0.4757082187412876	0		1	chr1:48.62	0	0	0	0	N	chr8:4:6.2|chr9:1:0.18	C2|1.07(NA-NA)|176019	C2|chr2|0.10	C2|SBS4|0.94; ALL|SBS4|0.94
Battenberg_0	TCGA-78-7536-01A	0.8024127616444441	0.08967071148562683	0.10891727764448815	0.36652742787661036	0.03743249809660448	0.7636162701829693	WGD	16	106726	0.78	3.18095166200224	0.7995	2.79387096241043	0.8824304438568258	0.851668439093187		1218	0.5935960591133005	0.3561468187214202	0		0		0	0	0	0	N	chr16:1:0.94|chr3:1:3.92|chr6:1:0.61	C4|0.98(NA-NA)|102099; C6|0.33(NA-NA)|3530	C4|chr2|0.10; C6|chr2|0.10	C4|SBS4|0.95; C6|SBS40|0.82; ALL|SBS4|0.95
Battenberg_0	LU-FF115_tumor	0.33289639443538016	0.007905849441631222	0.001491929302815824	0.2828476903495607	0.2679669484150277	0.0652908857833989	nWGD	1	2075	0.41	1.7773943204314	0.41943	1.72536085226565	0.5874065796273364	0.814555667501205		3	0.3333333333333333	0.013482360928967452	0		0		0	0	0	0	N	chr9:1:3.11	C1|1.05(0.73-1.12)|1337; C2|0.77(0.70-1.08)|721	C1|chr1|0.11; C2|chr1|0.11	C1|SBS40|0.83; C2|SBS40|0.83; ALL|SBS40|0.84
Battenberg_0	TCGA-97-A4M3-01A	0.2666815691744904	0.059802170363358526	0.0068837238578307895	0.13976565244484337	0.10375133394248372	0.17168164476540407	nWGD	1	33931	0.68	2.03130029584456	0.67932	1.99015053505462	0.8024940445884438	0.655053194989387		259	0.6447876447876448	0.046314500229025515	1	nMut = 541; Ratio = 0.02	0		0	0	0	0	N		C3|0.99(0.95-1.01)|30738; C5|0.47(0.23-0.99)|541; C6|0.23(0.22-0.45)|2267	C3|chrX|0.09; C5|chr21|0.09; C6|chr2|0.10	C3|SBS4|0.95; C5|SBS40|0.83; C6|SBS40|0.88; ALL|SBS4|0.94
Battenberg_0	TCGA-86-7711-01A	0.5599264681015358	0.016775670771279682	0.015272830871217884	0.421300104619562	0.3188384468618726	0.24105928421139805	nWGD	3	43149	0.33	1.90108476408687	0.31449	1.85109760493221	0.4912340264903969	0.94954126357937		0		0.11615023112094973	0		2	chr3:26.14|chr3:32.16	0	0	0	0	N	chr19:1:0.08	C2|1.04(1.03-1.04)|42805	C2|chr4|0.10	C2|SBS40|0.89; ALL|SBS40|0.89
Battenberg_0	TCGA-MP-A4TH-01A	0.21829232520436878	6.850719040927232e-4	0	0.0751381738251669	0.059318210128499166	0.16723400538081523	nWGD	3	22501	0.41	2.10569706313645	0.41902	2.10414687099726	0.564725978867765	0.980477279222635		0		0.014567416034987785	0		0		0	0	0	0	N	chr17:2:1.06	C2|0.97(0.94-0.99)|21933; C3|0.43(0.41-0.98)|423	C2|chrX|0.10; C3|chr21|0.20	C2|SBS4|0.94; C3|SBS4|0.86; ALL|SBS4|0.93
Battenberg_0	LU-FF104_tumor	0.09750371665616978	0.02171473438670786	0	0.07673628277040374	0.06822291659140446	0.029168503514969617	nWGD	0	2731	0.45	1.9565509117039	0.46395	1.92202370967212	0.6111101314278456	0.512232806223213		0		0.006506775809853962	0		1	chr11:50.77	0	0	0	0	N	chr12:1:4.37	C1|0.97(0.96-0.98)|2713	C1|chr2|0.09	C1|SBS5|0.87; ALL|SBS5|0.87
Battenberg_0	LU-FF24_tumor	0.8074703980627269	0.177545300910911	0.10319644431422684	0.3370244062803559	0.004916088246217374	0.8017535275586543	WGD	19	9861	0.52	3.27522583729119	0.50492	3.16672457314019	0.6712176725522562	0.710582405723933		375	0.2826666666666667	0.3410446871269189	0		3	chr12:15.8|chr12:83.11|chr19:15.2	0	0	0	0	N		C1|1.02(1.00-1.03)|9802	C1|chr1|0.10	C1|SBS40|0.89; ALL|SBS40|0.89
Battenberg_0	TCGA-91-6830-01A	0.36884668842956675	0.020992055948519574	0	0.32548005744388103	0.32399253289631547	0.04727218088756198	nWGD	1	31883	0.28	1.74588935991249	0.28588	1.67731224187291	0.4587275243685401	0.831440184169908		0		3.6496900269265305e-4	0		2	chr6:28.33|chr6:22.32	0	0	0	0	N		C2|0.91(0.91-0.92)|31798	C2|chr2|0.09	C2|SBS2|0.73; ALL|SBS2|0.73
Battenberg_0	S01346_20100601_TPD_01.01	0.945525290403655	0.20506487891869715	0.2681287950984257	0.32187378751585927	0	0.9454808309489305	WGD	22	67494	0.49	3.69203198754387	0.4998	3.35235354233668	0.620426600713368	0.747040346675479		4881	0.5761114525711944	0.6528613807900494	0		0		0	0	0	0	N	chr3:1:0.13	C4|1.01(1.00-1.01)|66819	C4|chr2|0.10	C4|SBS4|0.89; ALL|SBS4|0.89
Battenberg_0	TCGA-44-6778-01A	0.8992773315825744	0.03825939887624171	0.2838325746110683	0.28939205584184036	0.006432825464083355	0.892844506118491	WGD	20	74199	0.29	3.36543469231109	0.29174	3.25096190350511	0.37249833176180935	0.924061971492044		2757	0.5738121146173377	0.6598857371098099	0		0		0	0	0	0	N		C3|1.04(1.04-1.05)|73969	C3|chr2|0.09	C3|SBS4|0.96; ALL|SBS4|0.96
Battenberg_0	TCGA-05-4422-01A	0.237185890783678	0.026521042307816906	0	0.1264596509664039	0.12645953548820416	0.11072635529547382	nWGD	1	4395	0.62	2.15560973592342	0.61752	1.97509065183536	0.8120201963843402	0.564674826013919		0		0	0		1	chr8:12.71	0	0	0	0	N	chr13:1:0.05	C3|0.98(0.93-1.03)|4072; C5|0.22(0.21-0.61)|227	C3|chr8|0.11; C5|chr2|0.09	C3|SBS40|0.77; C5|SBS52|0.80; ALL|SBS40|0.78
Battenberg_0	TCGA-55-A492-01A	0.3806475500075458	0.11034172076385033	0	0.2851451408771229	0.22232823210273142	0.15230708910908186	nWGD	2	56384	0.34	1.75394189798458	0.34612	1.70380185038403	0.805535403486722	0.482840647572308		0		0.015295000348757604	1	nMut = 2400; Ratio = 0.04	2	chr18:59.68|chrX:93.51	2	2	1	2	Y	chr9:3:120.93	C2|2.08(1.30-2.16)|19156; C3|1.31(0.96-2.05)|4959; C4|0.96(0.90-1.32)|29712; C5|0.47(0.46-0.97)|2400	C2|chrX|0.14; C3|chrX|0.12; C4|chr4|0.09; C5|chr2|0.10	C2|SBS4|0.98; C3|SBS4|0.95; C4|SBS4|0.91; C5|SBS40|0.87; ALL|SBS4|0.94
Battenberg_0	S01381_20100615_TPD_01.01	0.9409696562936289	0.46929836442709194	0.24471821201352392	0.12363908063350236	0.0015992941098693443	0.9393703621837596	WGD	21	24055	0.63	3.68343751201808	0.62181	3.48388886532789		0.399388980557491		3004	0.5119840213049268	0.3855660798396029	0		1	chr2:25.78	0	0	0	0	N		C3|1.02(1.01-1.02)|23637; C4|0.36(0.35-1.02)|346	C3|chr2|0.10; C4|chr11|0.09	C3|SBS4|0.95; C4|SBS3|0.77; ALL|SBS4|0.94
Battenberg_0	EBUS230413A_4R	0.8859157386560855	0.06276563529415759	0.01885637749585859	0.4270611662653582	0.1483149381790136	0.7374709542849418	WGD	17	10987	0.27	3.56602803874589	0.26622	3.31890723906963	0.5440779187429807	0.844335226396497		0		0.13778230645132333	0		2	chr9:10.43|chr16:43.7	1	0	0	0	N	chr9:1:0.37	C2|2.40(1.05-2.51)|229; C4|1.05(1.04-1.06)|10608	C2|chr15|0.20; C4|chr2|0.10	C2|SBS5|0.74; C4|SBS40|0.84; ALL|SBS40|0.84
Battenberg_0	TCGA-50-6590-01A	0.9017871362240326	0.3180188250067633	0.023519641823606986	0.5056278333171211	0.018572365957094425	0.8972561312612759	WGD	20	190510	0.24	3.05722675314226	0.22824	3.18753017322528	0.35116604005455077	0.634421324916919		3508	0.27708095781071834	0.34831753139986843	0		2	chr13:34.08|chr13:45.62	0	0	0	0	N	chr4:2:1.63|chr5:1:0.2	C2|1.07(NA-NA)|190152	C2|chr2|0.12	C2|SBS4|0.91; ALL|SBS4|0.91
Battenberg_0	S01356_20100601_TPD_01.01	0.9077573138759542	0.30341339937558476	0.2160630998789433	0.2798968740858983	7.73331764517932e-5	0.9076799806995024	WGD	21	63717	0.32	3.49474093390081	0.32704	3.3150038010222		0.561506878774221		5089	0.4721949302416978	0.5989512524588564	0		1	chr9:77.66	0	0	0	0	N	chrX:1:2.77	C2|1.05(1.05-1.05)|63521	C2|chr2|0.10	C2|SBS4|0.95; ALL|SBS4|0.95
Battenberg_0	E01014101	0.8588133773384934	0.592561472556918	0.15921247102758707	0.3592769506927029	0.0630265835042585	0.7861268227878176	WGD	18	18917	0.59	3.03314564819415	0.61065	2.78344465649137	0.6186243713012092	0.290085283742927		4316	0.17075996292863763	0.35258842025393333	0		3	chr1:94.61|chr10:43.86|chr10:26.96	0	0	0	1	Y	chr16:1:0.29|chr5:1:12.32	C2|0.98(0.93-0.99)|17217; C3|0.42(0.31-0.98)|1607	C2|chr1|0.10; C3|chr4|0.15	C2|SBS40|0.86; C3|SBS40|0.80; ALL|SBS40|0.86
Battenberg_0	TCGA-91-8499-01A	0.8286976470247134	0.15674306249736655	0.05394441169247418	0.3891402972075267	0.08250134329941315	0.7567905746659984	WGD	19	43524	0.8	2.85830989843052	0.8016	2.61864635842431	0.8522096786320112	0.782573769985802		157	0.9490445859872612	0.3142338950500429	0		0		0	0	0	0	N	chr1:1:0.06|chr4:2:1.42|chrX:1:0.31	C4|0.99(0.96-1.03)|42297; C7|0.24(0.17-0.43)|582	C4|chr2|0.10; C7|chrX|0.22	C4|SBS40|0.86; C7|SBS5|0.76; ALL|SBS40|0.87
Battenberg_0	TCGA-55-6712-01A	0.86928113076665	0.1827254288319643	0.1471798278234094	0.16766891645492493	0.006535212888141212	0.862624388899367	WGD	21	24594	0.26	3.39408449014303	0.26858	3.34123604986355	0.4231017791658632	0.721794323084298		1057	0.18448438978240303	0.2930522278323232	0		0		0	0	0	0	N	chr9:1:0.35	C1|0.99(0.99-0.99)|24517	C1|chr4|0.09	C1|SBS40|0.71; ALL|SBS40|0.71
Battenberg_0	A08-43-4	0.9158315645580378	0.6488780978808818	0.19513907269507177	0.1505402225661848	0.00512240980997992	0.909468370709266	WGD	22	6443	0.55	4.15898014987022	0.5588	3.38115225766369	0.5263157894736842	0.255983180747794		1476	0.1856368563685637	0.2821274489779297	0		1	chr16:43.67	1	1	1	0	N	chr9:1:3.57	C1|1.20(1.19-1.21)|6435	C1|chr7|0.09	C1|SBS40|0.91; ALL|SBS40|0.91
Battenberg_0	TCGA-91-7771-01A	0.6986365633652698	0.5233013114905752	0.19387060206224127	0.12692166220008005	0.040461177188900285	0.6551620896846259	WGD	15	38730	0.49	2.5310667441147	0.5145	2.91974573061871	0.5551302376893573	0.116680459843999		4963	0.20713278259117468	0.3146500927647646	1	nMut = 8566; Ratio = 0.22	9	chr1:35.84|chr2:12.94|chr5:47.09|chr5:43.79|chr6:20.97|chr11:80.53|chr14:18.36|chr16:36.23|chr21:18.08	0	0	0	0	N	chr15:1:0.07|chr21:1:8.58|chr8:1:0.08	C2|0.94(0.46-0.98)|30006; C3|0.45(0.44-0.94)|8566	C2|chr4|0.11; C3|chr2|0.11	C2|SBS4|0.90; C3|SBS4|0.89; ALL|SBS4|0.90
Battenberg_0	LU-FF1_tumor	0.9084144940497878	0.18245479001871637	0.22303643566558085	0.2845635874414678	0	0.9084144940497878	WGD	21	15340	0.15	3.26017778344597	0.1554	3.35827029198464		0.732275854869997		1081	0.32932469935245146	0.508404582618091	0		0		1	1	1	0	N		C1|1.30(1.29-1.30)|15301	C1|chr2|0.11	C1|SBS40|0.89; ALL|SBS40|0.89
Battenberg_0	TCGA-62-A46O-01A	0.7795614679449734	0.38041776536444954	0.18311646016136895	0.27029092051139053	0.022747509442062684	0.7493104603650362	WGD	15	144223	0.82	2.90286365085261	0.82246	2.79310734590964	0.8941569894566865	0.419086189112077		24613	0.7392434892130175	0.4315892215100933	0		7	chr1:17.16|chr1:17.02|chr5:41.73|chr8:96.74|chr11:40.01|chr17:33.1|chr18:22.11	0	0	0	0	N	chr10:1:0|chr16:1:0.03|chr9:1:0.16	C3|1.00(NA-NA)|139820; C6|0.27(NA-NA)|2802	C3|chr2|0.10; C6|chr6|0.10	C3|SBS4|0.90; C6|SBS40|0.88; ALL|SBS4|0.90
Battenberg_0	TCGA-69-8255-01A	0.911073818902834	0.17233426981121439	0.07793272569961443	0.32890920674789126	0.015020073439808079	0.8956350660324972	WGD	21	58085	0.38	3.22422099410497	0.38076	3.11690150111481	0.4966579233342233	0.803413168428836		2208	0.5380434782608695	0.3266020005421498	0		3	chr4:13.65|chr5:15.07|chr15:38.28	0	0	0	0	N	chr13:1:1.2	C4|1.00(0.99-1.00)|57593	C4|chr2|0.10	C4|SBS40|0.90; ALL|SBS40|0.90
Battenberg_0	TCGA-49-4510-01A	0.9236315276547316	0.5111649808363602	0.33776702439331124	0.29517459768363247	0	0.919583028311176	WGD	21	6747	0.62	3.43957504819642	0.63178	3.17117186801145	0.6067317010342304	0.399891457623151		2336	0.4666095890410959	0.6262523674720841	0		3	chr10:30.89|chr12:31.29|chr17:56.56	0	0	0	0	N		C1|1.02(1.00-1.03)|6548; C2|0.39(0.36-1.02)|163	C1|chr4|0.10; C2|chr11|0.10	C1|SBS4|0.89; C2|SBS45|0.85; ALL|SBS4|0.90
Battenberg_0	TCGA-62-A46P-01A	0.26372238803983494	0.10821812705809065	0	0.09779346996811782	0.09515290545296623	0.16856948258686869	nWGD	4	47743	0.7	2.09786626030053	0.7035	2.03665758168274	0.8191147076247688	0.466735365333406		0		0.0027547828121711033	0		0		0	0	0	0	N		C3|1.01(0.98-1.01)|42250; C4|0.66(0.29-1.01)|1018; C6|0.28(0.27-0.52)|4118	C3|chr2|0.09; C4|chr1|0.11; C6|chr2|0.10	C3|SBS4|0.98; C4|SBS4|0.82; C6|SBS40|0.81; ALL|SBS4|0.97
Battenberg_0	TCGA-78-7159-01A	0.27771560908512355	0.19207412959143685	0.002022296344525224	0.09276149268748422	0.04085463050779867	0.22390341677182599	nWGD	3	58954	1	2.46222606209737	1	2.28326551561559	0.7013981145904311	0.0724221618732187	BB_Purity|ASCAT_Purity	93	0.06451612903225806	0.05708398073586538	0		5	chr8:12.31|chr18:12.51|chr22:13.99|chr22:16.35|chrX:42.66	0	0	0	0	N		C1|1.03(0.71-1.06)|9983; C2|0.72(0.46-0.99)|41440; C4|0.23(0.20-0.56)|6782	C1|chrX|0.17; C2|chr2|0.09; C4|chr4|0.14	C1|SBS4|0.96; C2|SBS4|0.96; C4|SBS4|0.90; ALL|SBS4|0.96
Battenberg_0	LU-FF78_tumor	0.9064848758267972	0.42990717011796936	0.12253059109862005	0.450072191121039	0.010499144393860854	0.8904390740006015	WGD	21	1920	0.35	3.1653098417129	0.33775	3.19370491125844	0.4078663688718428	0.531577191639057		328	0.2621951219512195	0.40339659852966764	0		3	chr4:190.04|chr5:37.01|chr5:131.04	1	1	1	0	N		C1|1.12(1.11-1.13)|1912	C1|chrX|0.11	C1|SBS40|0.86; ALL|SBS40|0.86
Battenberg_0	TCGA-86-7954-01A	0.8837315396764374	0.06422250045338115	0.055187039634226276	0.155283527330459	0.018383149865368577	0.8595064194195582	WGD	21	48070	0.28	4.54480255409672	0.26936	4.40331534311767	0.3902012679818819	0.927331932610229		0		0.20810579665080262	0		0		0	0	0	0	N		C2|1.05(1.05-1.06)|47964	C2|chrX|0.13	C2|SBS40|0.87; ALL|SBS40|0.87
Battenberg_0	TCGA-55-8510-01A	0.8707945722555687	0.32460389121634653	0.17560805418448225	0.3890624444534126	0.030317730456228056	0.8332973644248387	WGD	20	66137	0.29	2.76314518757648	0.27898	2.7903965392521	0.29770126665727903	0.53774746351714		7290	0.5471879286694101	0.5600625148351834	0		1	chr6:87.02	0	0	0	0	N		C2|1.09(1.09-1.09)|65817	C2|chr2|0.11	C2|SBS4|0.96; ALL|SBS4|0.96
Battenberg_0	17MH0022_P2	0.8908812814186746	0.5217839321199497	0.0718304377996778	0.4897651476791114	0.07369431855208597	0.8169934398386033	WGD	21	90039	0.47	3.12495979081055	0.4841	2.96679219742605		0.387153388612003		5757	0.3635574083724162	0.3433485448992434	0		6	chr1:30.16|chr7:94.04|chr8:41.9|chr8:22.47|chr18:13.9|chr21:14.29	0	0	0	1	Y	chr13:1:0.06|chr3:1:0.05|chr4:1:29.46|chr8:1:0.45	C4|0.99(NA-NA)|81103; C5|0.72(NA-NA)|2747; C6|0.43(NA-NA)|3747; C7|0.24(NA-NA)|2021	C4|chr2|0.10; C5|chr5|0.10; C6|chr2|0.11; C7|chr3|0.12	C4|SBS4|0.94; C5|SBS40|0.81; C6|SBS9|0.75; C7|SBS9|0.77; ALL|SBS4|0.92
Battenberg_0	TCGA-J2-A4AD-01A	0.27783924311871483	0.10638266201472298	0	0.24125140476382848	0.2112167294028337	0.07020549083382363	nWGD	0	48181	0.56	1.88252797453826	0.58632	1.68655466886264	0.6223682906658351	0.199800075899863		0		0.031469292673865765	0		2	chr1:15.16|chr18:15.35	0	0	0	1	Y	chr12:1:0.47|chr4:1:15.23	C1|0.97(0.61-0.98)|33782; C2|0.58(0.31-0.97)|948; C3|0.32(0.31-0.59)|13113	C1|chr4|0.09; C2|chrX|0.26; C3|chr2|0.12	C1|SBS40|0.89; C2|SBS40|0.83; C3|SBS13|0.74; ALL|SBS40|0.85
Battenberg_0	LC1-tumor-1	0.9224124302315893	0.30507425360124873	0.05578809456825889	0.4845251903315743	0	0.919679548955731	WGD	21	3698	0.53	3.11800495496725	0.52311	2.97515018077175	0.5644732021379668	0.67992338851014		202	0.297029702970297	0.3626695789773369	0		4	chr7:95.84|chr9:43.21|chr9:77.66|chr11:134.87	0	0	0	0	N	chr5:1:0.18	C1|1.03(1.02-1.04)|3676	C1|chrX|0.12	C1|SBS40|0.81; ALL|SBS40|0.81
Battenberg_0	TCGA-55-5899-01A	0.8646713902504849	0.07132444745884903	0.14320328940681515	0.337222548433837	0.012308762179500509	0.8484037261667926	WGD	20	86357	0.68	2.83285299927162	0.68952	2.71255197051553	0.7892676711813992	0.862686170723701		3208	0.4816084788029925	0.48938358907547685	0		1	chr18:10.4	0	0	0	1	Y	chr7:1:0.17|chr9:2:11.38	C3|0.98(NA-NA)|84654	C3|chr2|0.11	C3|SBS4|0.88; ALL|SBS4|0.88
Battenberg_0	EBUS270313A_7	0.001916733246167652	0.001916732898341749	0	0.001916733246167652	0	0.001916733246167652	nWGD	0	90	1	1.99900861694424	0.922	2.00120951621372	0.4372637856360982	0.091351727335961	|ASCAT_Purity	0		0.001989856196572539	0		0		0	0	0	0	N		C2|0.16(0.14-0.20)|72	C2|chr5|0.14	C2|SBS5|0.68; ALL|SBS5|0.70
Battenberg_0	LC4-tumor-1	0.9179827964116545	0.17579666124481028	0.0837184136971449	0.6258597841984604	0.03178113326943917	0.8814454999791127	WGD	20	6243	0.82	2.45383891747472	0.81672	2.29086887875358	0.7974879192996024	0.796451255242532		432	0.16898148148148148	0.69835828923554	0		3	chr9:77.67|chr16:43.56|chr19:58.31	0	0	0	0	N		C1|0.98(0.66-0.98)|4749; C2|0.65(0.32-0.98)|307; C3|0.32(0.31-0.66)|1150	C1|chrX|0.13; C2|chr1|0.13; C3|chrX|0.14	C1|SBS5|0.79; C2|SBS5|0.75; C3|SBS5|0.85; ALL|SBS5|0.81
Battenberg_0	LC4-tumor-2	0.9372556114908371	0.12119042212664621	0.048199266424188744	0.6549961695900609	0.012232831448363067	0.9222942119193772	WGD	21	8673	0.66	4.01299074333261	0.66396	3.7380470897654		0.905132613773434		0		0.42376596367751657	0		0		0	0	0	0	N	chr17:1:0.28	C2|0.96(0.93-0.99)|8433; C3|0.36(0.33-0.97)|204	C2|chrX|0.15; C3|chrX|0.14	C2|SBS40|0.83; C3|SBS18|0.79; ALL|SBS40|0.84
